,susceptible,exposed,infectious,recovered
0,999999.0,0.0,1.0,0.0
1,1000031.5994905372,0.3326291746895242,0.851413531640758,0.1840431421529147
2,1000064.2429667169,0.5664098320800721,0.7802261588619666,0.34663692449795236
3,1000096.9054438383,0.741774813824057,0.7584974045351074,0.5002737193744363
4,1000129.5707881853,0.8838552105427573,0.7691630436431736,0.6530204129415688
5,1000162.2282560341,1.008371996906893,0.8018739681342347,0.8102488982728404
6,1000194.870355641,1.1252677579503898,0.85043346756878,0.9757050804887498
7,1000227.4915236478,1.2409465512554048,0.9112191638900099,1.1521706738012414
8,1000260.08730299,1.359655950875189,0.9822120133506934,1.3418742482168298
9,1000292.6538291716,1.4843408259978923,1.062399389898229,1.5467480927909663
10,1000325.1875060363,1.6171716173245017,1.1514089219084203,1.7685903301720087
11,1000357.684797541,1.7598724056737665,1.2492845366926286,2.0091690313577497
12,1000390.1420903545,1.9139256984265638,1.3563503734938605,2.270290917023361
13,1000422.5555992858,2.0807015228896892,1.4731289745598104,2.553848644140197
14,1000454.9212982401,2.261540142125424,1.6002930904621218,2.8618553296648384
15,1000487.2348659902,2.4578064336203247,1.7386384141729052,3.1964716662574904
16,1000519.4916400551,2.6709271187377794,1.889069410593144,3.560028984755449
17,1000551.6865744692,2.9024177610339086,2.052593431204128,3.955050371250883
18,1000583.8141987734,3.1539037773577596,2.2303202054750795,4.384271174444227
19,1000615.8685764307,3.4271381593945534,2.4234649084327358,4.850659800479771
20,1000647.8432615134,3.7240175993935583,2.633353688032272,5.357439372785057
21,1000679.7312527542,4.046598024135403,2.861431101605368,5.908110710465525
22,1000711.5249443366,4.397110329287975,3.10926898153687,6.506476937739242
23,1000743.2160728313,4.777976702722743,3.3785766382692906,7.156670021384212
24,1000774.795659827,5.1918279221254116,3.6712122407477916,7.863179461918678
25,1000806.2539498175,5.641521842684838,3.989195377471934,8.630883357818345
26,1000837.5803426767,6.130163350918928,4.334720855762511,9.465082176950416
27,1000868.7633204551,6.661125921188324,4.710173736743869,10.371535369679778
28,1000899.7903678572,7.238074959675537,5.11814573903873,11.356501142076073
29,1000930.6478856773,7.864993194961819,5.561453116056115,12.426779754064677
30,1000961.3210977719,8.546207939471666,6.043155890101918,13.589760050013073
31,1000991.7939475717,9.286421390231403,6.566579274596965,14.853471224830013
32,1001022.0489885695,10.090742706412609,7.135336327742425,16.226637603945164
33,1001052.0672635882,10.964723354393595,7.75335294449713,17.718739039292835
34,1001081.8281740198,11.914395373486052,8.42489493618755,19.34007632388418
35,1001111.3093376794,12.946312977222002,9.154597461714411,21.10184230610069
36,1001140.4864345154,14.067597723548948,9.947496953843547,23.016199082707747
37,1001169.333038797,15.285987613355406,10.809065869938015,25.096361962341433
38,1001197.8204370865,16.609890338237626,11.745250390658141,27.356690546162696
39,1001225.9174301319,18.048441254195765,12.762511420433546,29.812787861450566
40,1001253.5901179643,19.611566259314777,13.867869067700143,32.481607906606634
41,1001280.8016659582,21.31005022284612,15.068951074169892,35.38157273195795
42,1001307.5120511258,23.155611167561403,16.374045354855866,38.53269942369585
43,1001333.6777865882,25.160980847376358,17.792157030288127,41.95673802168111
44,1001359.2516217036,27.339992469265667,19.33307045853223,45.67732163894117
45,1001384.1822165035,29.707675866491527,21.007416627364236,49.720129458697265
46,1001408.413788542,32.2803607127135,22.826746262377824,54.11306356339383
47,1001431.8857288891,35.075788713289,24.803609339208702,58.88644123807622
48,1001454.5321842632,38.11323579553127,26.951641470327726,64.07320426025416
49,1001476.2816053225,41.41364408041605,29.285657373650736,69.70914516886346
50,1001497.0562522578,44.99976628425684,31.82175317421955,75.83315496759758
51,1001516.7716622184,48.896321137492066,34.57741669399621,82.48748999056409
52,1001535.3360678158,53.13016309680347,37.571647798638075,89.71806333998678
53,1001552.6497669487,57.7304666224662,40.82508839413278,97.57476078657592
54,1001568.6044374759,62.72892601860102,44.36016429083798,106.11178439314592
55,1001583.0823938543,68.15997221001288,48.20123897659656,115.38802532595886
56,1001595.9557795976,74.06100770717737,52.37478108140566,125.46746896664621
57,1001607.0856907193,80.47266224223436,56.90954544685941,136.4196347639981
58,1001616.3212223705,87.43907173188582,61.83676897770585,148.32005478130148
59,1001623.4984356922,95.00817839377673,67.19038489968716,161.2507924702478
60,1001628.4392366428,103.23205628105963,73.00725522465544,175.30100584301323
61,1001630.9501569374,112.16726554258184,79.32742293916509,190.56756008520293
62,1001630.8210311224,121.87523942730792,86.19438286396573,207.1556926165454
63,1001627.8235622233,132.42269906818086,93.65537977028637,225.17973454302032
64,1001621.7097642652,143.8821057785362,101.76172978867129,244.7638944321
65,1001612.2102714456,156.332152422366,110.56916850586227,266.0431096712507
66,1001599.0325058318,169.8582934343906,120.13823008700564,289.1639696289798
67,1001581.8586871891,184.55332184642447,130.53465705302523,314.2857190233763
68,1001560.3436758285,200.51799310972285,141.8298452707028,341.58134626114787
69,1001534.1126323197,217.8617013396702,154.1013263238214,371.2387651094951
70,1001502.7584802605,236.70321165543132,167.433290191225,403.4620969085007
71,1001465.8391561226,257.1714528660082,181.9171516021576,438.4730616840871
72,1001422.8746275797,279.4063757572729,197.65216365959012,476.5124879094885
73,1001373.3436602709,303.55988222699705,214.74608296396895,517.8419514834397
74,1001316.6803176514,329.796829540287,233.3158891035943,562.7455521332306
75,1001252.2701959107,358.29610861379064,253.48855824131383,611.5318266258713
76,1001179.4462583634,389.251834164519,275.40191826959637,664.535869073023
77,1001097.4844449442,422.8745970312393,299.2055493579471,722.1215685677805
78,1001005.5988490805,459.392836249184,325.06177224921225,784.6840719406579
79,1000902.9365133554,499.0543152289958,353.1467142276083,852.6524459494563
80,1000788.5718053671,542.1277126736567,383.6514595291172,926.4925600927305
81,1000661.5003418569,588.9043362384883,416.783290266765,1006.710207897198
82,1000520.6324204856,639.6999681151656,452.76702660907296,1093.8544893776461
83,1000364.7859326705,694.856848210041,491.84647152582886,1188.5214702763956
84,1000192.678722035,754.7458043179402,534.2859655031433,1291.3581387251088
85,1000002.920312228,819.7685464358856,580.3720663690042,1403.0667032858196
86,999794.0030409159,890.3601149911691,630.415346279917,1524.4092137442728
87,999564.2924757561,966.9915102609258,684.7523311786316,1656.2125762590667
88,999312.0171263841,1050.1724963039803,743.7475793391944,1799.3739588979142
89,999035.2573673418,1140.4546009152887,807.7959111458812,1954.8666389755117
90,998731.933553684,1238.4343097941037,877.3247952562042,2123.7463071161465
91,998399.7932701666,1344.7564656182378,952.7968984828625,2307.1578691094173
92,998036.3976765502,1460.1178642709558,1034.7128156192962,2506.3427745540457
93,997639.1068979393,1585.2710669923667,1123.6139747218324,2722.646909084848
94,997205.0644112244,1721.028429221473,1220.0857231285365,2957.5290930704073
95,996731.1803984807,1868.2663400702374,1324.7605997768378,3212.5702164219283
96,996214.1140386608,2027.929640237876,1438.3218206510492,3489.4830435393037
97,995650.2546795909,2201.0362652564636,1561.5069330362455,3790.1227438149403
98,995035.701894918,2388.68204872638,1695.1116765204217,4116.498170449786
99,994366.2443994711,2592.045686737417,1839.9940289477822,4470.783934716358
100,993637.3378316713,2812.3938345434526,1997.078428111102,4855.333305182977
101,992844.0814090107,3051.086288067999,2167.360166002046,5272.691976478518
102,991981.1934987485,3309.5812109807594,2351.909929279234,5725.612731051237
103,991042.9861586547,3589.4403432698973,2551.878463154192,6217.071025967345
104,990023.3387352378,3892.334113214305,2768.501327677792,6750.281526424572
105,988915.6706455398,4220.0465646207,3003.103701758428,7328.715592702036
106,987712.9134926206,4574.479984437378,3257.105184132825,7956.1197360904325
107,986407.4827272298,4957.659090540819,3532.024521931426,8636.535040869172
108,984991.2491238862,5371.734633753128,3829.4841861239743,9374.317510763894
109,983455.5103933878,5818.986246220648,4151.214715129022,10174.159264447297
110,981790.9633108703,6301.824213282001,4499.058680850273,11041.110669577354
111,979987.676870169,6822.790057522628,4874.974152022972,11980.603141034278
112,978035.067012522,7384.555562009545,5281.037468964633,12998.472614231101
113,975921.873670506,7989.919857757718,5719.4451931613,14100.983464126413
114,973636.140851435,8641.804274465325,6192.514960645364,15294.852717711388
115,971165.2007101025,9343.244504357594,6702.68498439223,16587.274315027833
116,968495.6626722076,10097.379581222303,7252.511950591756,17985.943110435048
117,965613.4087176626,10907.437206175025,7844.66700848492,19499.078273700274
118,962503.5969539921,11776.714484158392,8481.929164905607,21135.44558555808
119,959150.6731643234,12708.554461796835,9167.176345448794,22904.378290698074
120,955538.3942890094,13706.316427775768,9903.37302071233,24815.795689519746
121,951649.8640171976,14773.340495069766,10693.554188716804,26880.21898191642
122,947467.58311084,15912.905216855255,11540.805218267615,29108.78348399045
