DEPARTMENT;AGE_GROUP;WORK_GROUP;HEALTH_GROUP;POPULATION
HUILA;e3;M;S;5993
HUILA;e4;M;S;2090
HUILA;e5;M;S;803
HUILA;e6;M;S;223
HUILA;e7;M;S;40
LA GUAJIRA;e0;M;S;0
LA GUAJIRA;e1;M;S;62
LA GUAJIRA;e2;M;S;5566
LA GUAJIRA;e3;M;S;3581
LA GUAJIRA;e4;M;S;1119
LA GUAJIRA;e5;M;S;356
LA GUAJIRA;e6;M;S;86
LA GUAJIRA;e7;M;S;11
MAGDALENA;e0;M;S;0
MAGDALENA;e1;M;S;207
MAGDALENA;e2;M;S;10116
MAGDALENA;e3;M;S;5612
MAGDALENA;e4;M;S;1865
MAGDALENA;e5;M;S;698
MAGDALENA;e6;M;S;175
MAGDALENA;e7;M;S;28
META;e0;M;S;0
META;e1;M;S;238
META;e2;M;S;9220
META;e3;M;S;5073
META;e4;M;S;1566
META;e5;M;S;574
META;e6;M;S;123
META;e7;M;S;17
NARINO;e0;M;S;0
NARINO;e1;M;S;164
NARINO;e2;M;S;17670
NARINO;e3;M;S;9082
NARINO;e4;M;S;2428
NARINO;e5;M;S;705
NARINO;e6;M;S;154
NARINO;e7;M;S;15
NORTE DE SANTANDER;e0;M;S;0
NORTE DE SANTANDER;e1;M;S;183
NORTE DE SANTANDER;e2;M;S;14329
NORTE DE SANTANDER;e3;M;S;6710
NORTE DE SANTANDER;e4;M;S;1951
NORTE DE SANTANDER;e5;M;S;786
NORTE DE SANTANDER;e6;M;S;296
NORTE DE SANTANDER;e7;M;S;53
PUTUMAYO;e0;M;S;0
PUTUMAYO;e1;M;S;46
PUTUMAYO;e2;M;S;2120
PUTUMAYO;e3;M;S;1544
PUTUMAYO;e4;M;S;531
PUTUMAYO;e5;M;S;116
PUTUMAYO;e6;M;S;28
PUTUMAYO;e7;M;S;4
QUINDIO;e0;M;S;0
QUINDIO;e1;M;S;65
QUINDIO;e2;M;S;5653
QUINDIO;e3;M;S;2755
QUINDIO;e4;M;S;1010
QUINDIO;e5;M;S;415
QUINDIO;e6;M;S;159
QUINDIO;e7;M;S;25
RISARALDA;e0;M;S;0
RISARALDA;e1;M;S;82
RISARALDA;e2;M;S;9730
RISARALDA;e3;M;S;4702
RISARALDA;e4;M;S;1814
RISARALDA;e5;M;S;758
RISARALDA;e6;M;S;226
RISARALDA;e7;M;S;36
SANTANDER;e0;M;S;0
SANTANDER;e1;M;S;281
SANTANDER;e2;M;S;23034
SANTANDER;e3;M;S;12215
SANTANDER;e4;M;S;4701
SANTANDER;e5;M;S;1774
SANTANDER;e6;M;S;448
SANTANDER;e7;M;S;73
SUCRE;e0;M;S;0
SUCRE;e1;M;S;54
SUCRE;e2;M;S;7352
SUCRE;e3;M;S;3533
