DEPARTMENT;AGE_GROUP;WORK_GROUP;HEALTH_GROUP;POPULATION
TOLIMA;e6;M;H;206
TOLIMA;e7;M;H;34
VALLE;e0;M;H;0
VALLE;e1;M;H;125
VALLE;e2;M;H;13950
VALLE;e3;M;H;8935
VALLE;e4;M;H;3707
VALLE;e5;M;H;1970
VALLE;e6;M;H;774
VALLE;e7;M;H;158
VAUPES;e0;M;H;0
VAUPES;e1;M;H;0
VAUPES;e2;M;H;13
VAUPES;e3;M;H;33
VAUPES;e4;M;H;7
VAUPES;e5;M;H;8
VAUPES;e6;M;H;8
VAUPES;e7;M;H;0
VICHADA;e0;M;H;0
VICHADA;e1;M;H;0
VICHADA;e2;M;H;42
VICHADA;e3;M;H;58
VICHADA;e4;M;H;36
VICHADA;e5;M;H;12
VICHADA;e6;M;H;6
VICHADA;e7;M;H;0
AMAZONAS;e0;O;H;0
AMAZONAS;e1;O;H;2
AMAZONAS;e2;O;H;101
AMAZONAS;e3;O;H;129
AMAZONAS;e4;O;H;35
AMAZONAS;e5;O;H;23
AMAZONAS;e6;O;H;7
AMAZONAS;e7;O;H;1
ANTIOQUIA;e0;O;H;0
ANTIOQUIA;e1;O;H;89
ANTIOQUIA;e2;O;H;5659
ANTIOQUIA;e3;O;H;6630
ANTIOQUIA;e4;O;H;3120
ANTIOQUIA;e5;O;H;3047
ANTIOQUIA;e6;O;H;1218
ANTIOQUIA;e7;O;H;794
ARAUCA;e0;O;H;0
ARAUCA;e1;O;H;11
ARAUCA;e2;O;H;680
ARAUCA;e3;O;H;552
ARAUCA;e4;O;H;199
ARAUCA;e5;O;H;65
ARAUCA;e6;O;H;18
ARAUCA;e7;O;H;4
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e0;O;H;0
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e1;O;H;0
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e2;O;H;96
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e3;O;H;82
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e4;O;H;42
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e5;O;H;30
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e6;O;H;14
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e7;O;H;3
ATLANTICO;e0;O;H;0
ATLANTICO;e1;O;H;51
ATLANTICO;e2;O;H;6837
ATLANTICO;e3;O;H;4444
ATLANTICO;e4;O;H;1709
ATLANTICO;e5;O;H;888
ATLANTICO;e6;O;H;412
ATLANTICO;e7;O;H;71
BOGOTA D.C.;e0;O;H;0
BOGOTA D.C.;e1;O;H;209
BOGOTA D.C.;e2;O;H;21506
BOGOTA D.C.;e3;O;H;16631
BOGOTA D.C.;e4;O;H;7898
BOGOTA D.C.;e5;O;H;4573
BOGOTA D.C.;e6;O;H;1788
BOGOTA D.C.;e7;O;H;389
BOLIVAR;e0;O;H;0
BOLIVAR;e1;O;H;8
BOLIVAR;e2;O;H;3942
BOLIVAR;e3;O;H;3272
BOLIVAR;e4;O;H;1553
BOLIVAR;e5;O;H;683
BOLIVAR;e6;O;H;259
BOLIVAR;e7;O;H;51
BOYACA;e0;O;H;0
BOYACA;e1;O;H;29
BOYACA;e2;O;H;2482
BOYACA;e3;O;H;1532
BOYACA;e4;O;H;713
BOYACA;e5;O;H;358
BOYACA;e6;O;H;106
BOYACA;e7;O;H;20
CALDAS;e0;O;H;0
CALDAS;e1;O;H;21
CALDAS;e2;O;H;2350
CALDAS;e3;O;H;1634
CALDAS;e4;O;H;723
CALDAS;e5;O;H;412
CALDAS;e6;O;H;165
CALDAS;e7;O;H;39
CAQUETA;e0;O;H;0
CAQUETA;e1;O;H;10
CAQUETA;e2;O;H;846
CAQUETA;e3;O;H;594
CAQUETA;e4;O;H;250
CAQUETA;e5;O;H;111
CAQUETA;e6;O;H;36
CAQUETA;e7;O;H;5
CASANARE;e0;O;H;0
CASANARE;e1;O;H;4
CASANARE;e2;O;H;506
CASANARE;e3;O;H;420
CASANARE;e4;O;H;188
CASANARE;e5;O;H;77
CASANARE;e6;O;H;18
CASANARE;e7;O;H;4
CAUCA;e0;O;H;0
CAUCA;e1;O;H;34
CAUCA;e2;O;H;3596
CAUCA;e3;O;H;2632
CAUCA;e4;O;H;1281
CAUCA;e5;O;H;580
CAUCA;e6;O;H;137
CAUCA;e7;O;H;26
CESAR;e0;O;H;0
CESAR;e1;O;H;36
CESAR;e2;O;H;2494
CESAR;e3;O;H;1809
CESAR;e4;O;H;810
CESAR;e5;O;H;321
CESAR;e6;O;H;136
CESAR;e7;O;H;22
CHOCO;e0;O;H;0
CHOCO;e1;O;H;3
CHOCO;e2;O;H;351
CHOCO;e3;O;H;447
CHOCO;e4;O;H;274
CHOCO;e5;O;H;127
CHOCO;e6;O;H;45
CHOCO;e7;O;H;5
CORDOBA;e0;O;H;0
CORDOBA;e1;O;H;42
CORDOBA;e2;O;H;3779
CORDOBA;e3;O;H;2434
CORDOBA;e4;O;H;1055
CORDOBA;e5;O;H;412
CORDOBA;e6;O;H;193
CORDOBA;e7;O;H;16
CUNDINAMARCA;e0;O;H;0
CUNDINAMARCA;e1;O;H;106
CUNDINAMARCA;e2;O;H;4665
CUNDINAMARCA;e3;O;H;2567
CUNDINAMARCA;e4;O;H;1256
CUNDINAMARCA;e5;O;H;607
CUNDINAMARCA;e6;O;H;173
CUNDINAMARCA;e7;O;H;31
GUAINIA;e0;O;H;0
GUAINIA;e1;O;H;0
GUAINIA;e2;O;H;37
GUAINIA;e3;O;H;50
GUAINIA;e4;O;H;12
GUAINIA;e5;O;H;5
GUAINIA;e6;O;H;1
GUAINIA;e7;O;H;0
GUAVIARE;e0;O;H;0
GUAVIARE;e1;O;H;1
GUAVIARE;e2;O;H;136
GUAVIARE;e3;O;H;105
GUAVIARE;e4;O;H;54
GUAVIARE;e5;O;H;34
GUAVIARE;e6;O;H;10
GUAVIARE;e7;O;H;2
HUILA;e0;O;H;0
HUILA;e1;O;H;49
HUILA;e2;O;H;2946
HUILA;e3;O;H;1998
HUILA;e4;O;H;896
HUILA;e5;O;H;433
HUILA;e6;O;H;149
HUILA;e7;O;H;33
LA GUAJIRA;e0;O;H;0
LA GUAJIRA;e1;O;H;11
LA GUAJIRA;e2;O;H;1391
LA GUAJIRA;e3;O;H;1194
LA GUAJIRA;e4;O;H;479
LA GUAJIRA;e5;O;H;192
LA GUAJIRA;e6;O;H;57
LA GUAJIRA;e7;O;H;9
MAGDALENA;e0;O;H;0
MAGDALENA;e1;O;H;37
MAGDALENA;e2;O;H;2529
MAGDALENA;e3;O;H;1871
MAGDALENA;e4;O;H;799
MAGDALENA;e5;O;H;376
MAGDALENA;e6;O;H;117
MAGDALENA;e7;O;H;23
META;e0;O;H;0
META;e1;O;H;42
META;e2;O;H;2305
META;e3;O;H;1691
META;e4;O;H;671
META;e5;O;H;309
META;e6;O;H;82
META;e7;O;H;14
NARINO;e0;O;H;0
NARINO;e1;O;H;29
NARINO;e2;O;H;4418
NARINO;e3;O;H;3027
NARINO;e4;O;H;1040
NARINO;e5;O;H;379
NARINO;e6;O;H;102
NARINO;e7;O;H;12
NORTE DE SANTANDER;e0;O;H;0
NORTE DE SANTANDER;e1;O;H;32
NORTE DE SANTANDER;e2;O;H;3582
NORTE DE SANTANDER;e3;O;H;2237
NORTE DE SANTANDER;e4;O;H;836
NORTE DE SANTANDER;e5;O;H;423
NORTE DE SANTANDER;e6;O;H;198
NORTE DE SANTANDER;e7;O;H;44
PUTUMAYO;e0;O;H;0
PUTUMAYO;e1;O;H;8
PUTUMAYO;e2;O;H;530
PUTUMAYO;e3;O;H;515
PUTUMAYO;e4;O;H;227
PUTUMAYO;e5;O;H;62
PUTUMAYO;e6;O;H;18
PUTUMAYO;e7;O;H;4
QUINDIO;e0;O;H;0
QUINDIO;e1;O;H;12
QUINDIO;e2;O;H;1413
QUINDIO;e3;O;H;918
QUINDIO;e4;O;H;433
QUINDIO;e5;O;H;224
QUINDIO;e6;O;H;106
QUINDIO;e7;O;H;21
RISARALDA;e0;O;H;0
RISARALDA;e1;O;H;15
RISARALDA;e2;O;H;2433
RISARALDA;e3;O;H;1567
RISARALDA;e4;O;H;778
RISARALDA;e5;O;H;408
RISARALDA;e6;O;H;150
RISARALDA;e7;O;H;29
SANTANDER;e0;O;H;0
SANTANDER;e1;O;H;50
SANTANDER;e2;O;H;5758
SANTANDER;e3;O;H;4072
SANTANDER;e4;O;H;2015
SANTANDER;e5;O;H;955
SANTANDER;e6;O;H;298
SANTANDER;e7;O;H;60
SUCRE;e0;O;H;0
SUCRE;e1;O;H;9
SUCRE;e2;O;H;1838
SUCRE;e3;O;H;1178
SUCRE;e4;O;H;436
SUCRE;e5;O;H;197
SUCRE;e6;O;H;94
SUCRE;e7;O;H;13
TOLIMA;e0;O;H;0
TOLIMA;e1;O;H;45
TOLIMA;e2;O;H;2909
TOLIMA;e3;O;H;2200
TOLIMA;e4;O;H;16107
TOLIMA;e5;O;H;608
TOLIMA;e6;O;H;206
TOLIMA;e7;O;H;34
VALLE;e0;O;H;0
VALLE;e1;O;H;125
VALLE;e2;O;H;13950
VALLE;e3;O;H;8935
VALLE;e4;O;H;3707
VALLE;e5;O;H;1970
VALLE;e6;O;H;774
VALLE;e7;O;H;158
VAUPES;e0;O;H;0
VAUPES;e1;O;H;0
VAUPES;e2;O;H;13
VAUPES;e3;O;H;33
VAUPES;e4;O;H;7
VAUPES;e5;O;H;8
VAUPES;e6;O;H;8
VAUPES;e7;O;H;0
VICHADA;e0;O;H;0
VICHADA;e1;O;H;0
VICHADA;e2;O;H;42
VICHADA;e3;O;H;58
VICHADA;e4;O;H;36
VICHADA;e5;O;H;12
VICHADA;e6;O;H;6
VICHADA;e7;O;H;0
